"Object Name","Object Type","Index Name","Statistics Date","auto_created","no_recompute","user_created","is_incremental","is_temporary","row_count","used_page_count"
"dbo.CauHinh_BK","USER_TABLE","PK_CauHinh","12/31/2018 9:54:36 PM","False","False","False","False","False","1","2"
"dbo.CTPhatSinh_KhuyenMai05","USER_TABLE","IX_CTPhatSinh_KhuyenMai05","6/13/2018 1:00:01 AM","False","False","False","False","False","29250","209"
"dbo.CTPhatSinh_KhuyenMai05","USER_TABLE","PK_CTPhatSinh_KhuyenMai05","6/13/2018 1:00:01 AM","False","False","False","False","False","29250","680"
"dbo.CTPhatSinh_KhuyenMai04","USER_TABLE","IX_CTPhatSinh_KhuyenMai04","5/13/2018 1:00:01 AM","False","False","False","False","False","35915","255"
"dbo.CTPhatSinh_KhuyenMai04","USER_TABLE","PK_CTPhatSinh_KhuyenMai04","5/13/2018 1:00:01 AM","False","False","False","False","False","35915","776"
"dbo.CTPhatSinh_KhuyenMai01","USER_TABLE","IX_CTPhatSinh_KhuyenMai01","2/13/2018 1:00:01 AM","False","False","False","False","False","32083","228"
"dbo.CTPhatSinh_KhuyenMai01","USER_TABLE","PK_CTPhatSinh_KhuyenMai01","2/13/2018 1:00:01 AM","False","False","False","False","False","32083","741"
"dbo.NhanThuong_KhachHang","USER_TABLE","PK_NT_KhachHang","10/23/2017 3:22:42 PM","False","False","False","False","False","35431","291"
"dbo.MSsubscription_agents","USER_TABLE","ucMSsubscription_agents_id","10/13/2017 9:16:15 AM","False","False","False","False","False","25","2"
"dbo.MSsubscription_agents","USER_TABLE","ucMSsubscription_agents","10/10/2017 9:40:55 AM","False","False","False","False","False","25","2"
"dbo.LichSuCapTheTT","USER_TABLE","PK_LichSuCapThe","1/1/2017 1:16:56 AM","False","False","False","False","False","4167797","68078"
"dbo.CTPhieuQT","USER_TABLE","PK_CTPhieuQT","2/6/2016 1:03:21 AM","False","False","False","False","False","625932","29930"
"dbo.SGC_DocumentDetail","USER_TABLE","PK_SGC_DocumentDetail","1/8/2016 3:53:54 PM","False","False","False","False","False","219","97418"
"dbo.SGC_Feedback","USER_TABLE","PK_SGC_Feedback","1/8/2016 3:50:07 PM","False","False","False","False","False","51","10"
"dbo.SGC_DocumentIssue","USER_TABLE","PK_SGC_DocumentIssue","1/8/2016 3:50:06 PM","False","False","False","False","False","220","11"
"dbo.SGC_Attachment","USER_TABLE","PK_SGC_Attachment","1/8/2016 3:47:06 PM","False","False","False","False","False","9","497"
"dbo.SGC_ApplicationItem","USER_TABLE","PK_SGC_ApplicationItem","1/8/2016 3:46:59 PM","False","False","False","False","False","53","4"
"dbo.TNDSERV0","USER_TABLE","PK_TNDSERV0","","False","False","False","False","False","2","2"
"dbo.TransferSync","USER_TABLE","PK_TransferSync","","False","False","False","False","False","2","2"
"dbo.CTPhatQua","USER_TABLE","PK_CTPhatQua","","False","False","False","False","False","4","2"
